Fecha,Dia_De_La_Semana,Pan_Canilla_Cantidad,Pan_Frances_Cantidad,Pan_Colombiano_Cantidad,Pan_Sobao_Cantidad,Pan_Dulce_Cantidad,Pan_De_Coco_Cantidad,Pan_De_Arequipe_Cantidad,Clima
2025-01-01,Miércoles,66,74,90,111,27,11,11,soleado_nublado
2025-01-02,Jueves,109,114,83,72,13,29,14,soleado_nublado
2025-01-03,Viernes,112,143,115,130,50,49,43,nublado
2025-01-04,Sábado,117,143,103,130,46,41,41,soleado
2025-01-05,Domingo,144,117,133,121,39,33,35,nublado_lluvioso
2025-01-06,Lunes,97,113,87,143,30,32,41,nublado
2025-01-07,Martes,102,91,128,118,17,29,20,lluvioso
2025-01-08,Miércoles,73,56,66,66,16,15,22,soleado_nublado_lluvioso
2025-01-09,Jueves,82,75,81,135,10,31,18,lluvioso
2025-01-10,Viernes,132,122,87,110,37,29,38,soleado_nublado
2025-01-11,Sábado,130,109,103,121,33,48,46,soleado
2025-01-12,Domingo,125,124,142,121,34,35,42,nublado_lluvioso
2025-01-13,Lunes,125,129,76,71,28,34,36,lluvioso
2025-01-14,Martes,108,127,100,100,38,32,27,nublado
2025-01-15,Miércoles,65,77,105,74,27,24,14,soleado
2025-01-16,Jueves,115,105,97,143,28,42,40,nublado
2025-01-17,Viernes,119,102,126,128,40,40,30,nublado_lluvioso
2025-01-18,Sábado,139,121,97,115,28,43,33,soleado
2025-01-19,Domingo,108,111,108,93,42,32,46,soleado_nublado
2025-01-20,Lunes,74,78,70,119,19,37,17,soleado
2025-01-21,Martes,97,125,72,130,22,35,22,lluvioso
2025-01-22,Miércoles,121,68,96,73,20,38,36,soleado
2025-01-23,Jueves,92,67,100,100,33,26,38,lluvioso
2025-01-24,Viernes,144,117,150,147,27,34,44,nublado_lluvioso
2025-01-25,Sábado,114,88,103,115,36,37,34,soleado_nublado
2025-01-26,Domingo,134,112,154,124,28,31,34,nublado_lluvioso
2025-01-27,Lunes,88,118,124,115,18,34,22,soleado
2025-01-28,Martes,72,109,79,122,23,28,29,soleado_nublado
2025-01-29,Miércoles,46,55,54,43,15,26,16,soleado_nublado_lluvioso
2025-01-30,Jueves,103,67,82,75,30,19,30,soleado_nublado
2025-01-31,Viernes,117,133,117,119,45,46,45,nublado
2025-02-01,Sábado,105,109,107,133,29,48,26,soleado
2025-02-02,Domingo,107,135,123,111,29,30,34,soleado
2025-02-03,Lunes,114,94,80,68,13,29,29,soleado_nublado
2025-02-04,Martes,44,55,60,65,15,15,17,soleado_nublado_lluvioso
2025-02-05,Miércoles,124,123,101,89,35,27,15,lluvioso
2025-02-06,Jueves,74,65,71,83,38,28,34,soleado_lluvioso
2025-02-07,Viernes,114,122,126,134,34,28,45,soleado_nublado
2025-02-08,Sábado,124,142,121,123,38,34,42,nublado
2025-02-09,Domingo,82,67,73,81,30,22,23,soleado_nublado_lluvioso
2025-02-10,Lunes,75,104,80,63,22,34,31,soleado
2025-02-11,Martes,122,118,110,65,19,10,14,soleado
2025-02-12,Miércoles,88,115,70,123,30,33,31,soleado
2025-02-13,Jueves,101,98,92,99,22,15,35,soleado
2025-02-14,Viernes,102,129,98,114,40,32,32,soleado_nublado
2025-02-15,Sábado,93,92,109,135,46,44,35,soleado_nublado
2025-02-16,Domingo,107,119,102,113,44,25,32,soleado
2025-02-17,Lunes,88,103,110,95,30,25,31,soleado
2025-02-18,Martes,99,95,68,103,28,10,23,soleado_nublado
2025-02-19,Miércoles,77,100,109,79,37,18,36,soleado
2025-02-20,Jueves,111,72,120,83,30,13,29,soleado_nublado
2025-02-21,Viernes,135,116,137,133,39,32,41,lluvioso
2025-02-22,Sábado,135,134,147,117,39,40,43,lluvioso
2025-02-23,Domingo,153,131,135,147,31,41,31,lluvioso
2025-02-24,Lunes,85,123,127,113,38,40,38,nublado
2025-02-25,Martes,71,60,66,54,16,16,21,soleado_nublado_lluvioso
2025-02-26,Miércoles,85,73,118,78,39,31,23,soleado_nublado
2025-02-27,Jueves,103,98,71,83,32,23,28,soleado_nublado
2025-02-28,Viernes,113,101,114,136,36,36,44,soleado_nublado
2025-03-01,Sábado,113,121,105,103,27,39,26,soleado_nublado
2025-03-02,Domingo,144,119,137,111,40,30,30,nublado_lluvioso
2025-03-03,Lunes,89,109,83,82,31,19,11,soleado_nublado
2025-03-04,Martes,76,128,73,69,21,12,31,soleado
2025-03-05,Miércoles,83,86,81,62,17,29,19,soleado_lluvioso
2025-03-06,Jueves,92,109,73,85,38,36,35,nublado_lluvioso
2025-03-07,Viernes,121,123,111,130,36,44,26,soleado
2025-03-08,Sábado,91,91,71,72,30,22,23,soleado_nublado_lluvioso
2025-03-09,Domingo,124,103,110,131,34,35,46,soleado_nublado
2025-03-10,Lunes,93,92,72,102,23,36,29,soleado
2025-03-11,Martes,65,83,75,76,14,34,13,soleado_lluvioso
2025-03-12,Miércoles,107,98,102,77,35,22,17,soleado
2025-03-13,Jueves,63,62,81,87,35,27,33,soleado_lluvioso
2025-03-14,Viernes,122,109,107,116,40,40,43,soleado_nublado
2025-03-15,Sábado,130,111,104,113,44,43,33,soleado
2025-03-16,Domingo,133,121,111,132,42,28,42,soleado
2025-03-17,Lunes,85,91,109,78,35,23,28,soleado
2025-03-18,Martes,80,94,86,112,18,34,26,soleado
2025-03-19,Miércoles,73,80,68,58,26,17,32,soleado_lluvioso
2025-03-20,Jueves,79,122,86,86,30,37,13,lluvioso
2025-03-21,Viernes,103,129,114,136,32,46,45,soleado
2025-03-22,Sábado,137,133,142,126,38,31,43,lluvioso
2025-03-23,Domingo,107,127,118,97,42,39,37,soleado
2025-03-24,Lunes,71,112,118,104,26,17,29,lluvioso
2025-03-25,Martes,95,78,92,90,30,23,20,soleado
2025-03-26,Miércoles,107,117,101,112,23,31,19,lluvioso
2025-03-27,Jueves,113,85,115,108,18,24,37,soleado
2025-03-28,Viernes,139,128,141,139,45,43,39,lluvioso
2025-03-29,Sábado,112,111,100,105,39,43,30,soleado_nublado
2025-03-30,Domingo,85,96,96,111,36,33,30,soleado_lluvioso
2025-03-31,Lunes,92,116,69,87,31,34,26,soleado
2025-04-01,Martes,113,115,113,87,34,34,37,soleado
2025-04-02,Miércoles,81,111,101,109,24,35,32,nublado_lluvioso
2025-04-03,Jueves,123,89,77,93,20,33,33,lluvioso
2025-04-04,Viernes,125,123,121,142,40,31,27,nublado_lluvioso
2025-04-05,Sábado,104,115,103,127,33,36,29,soleado
2025-04-06,Domingo,110,131,114,103,34,45,43,soleado
2025-04-07,Lunes,88,103,111,85,30,34,30,soleado
2025-04-08,Martes,73,119,77,101,31,31,11,lluvioso
2025-04-09,Miércoles,107,105,126,117,39,26,38,nublado
2025-04-10,Jueves,69,122,86,105,25,27,11,soleado_nublado
2025-04-11,Viernes,109,114,124,115,41,40,31,soleado_nublado
2025-04-12,Sábado,100,104,116,97,42,41,31,soleado_nublado
2025-04-13,Domingo,113,117,107,126,32,40,43,soleado
2025-04-14,Lunes,102,96,104,115,35,34,17,soleado
2025-04-15,Martes,81,119,101,77,20,13,32,soleado_nublado
2025-04-16,Miércoles,72,114,92,106,12,27,27,soleado_nublado
2025-04-17,Jueves,93,89,111,110,21,37,17,soleado
2025-04-18,Viernes,130,139,122,126,34,41,34,lluvioso
2025-04-19,Sábado,105,116,119,132,44,28,34,soleado_nublado
2025-04-20,Domingo,107,119,109,101,38,36,36,soleado_nublado
2025-04-21,Lunes,65,77,69,63,33,18,34,soleado_lluvioso
2025-04-22,Martes,59,62,44,53,19,15,18,soleado_nublado_lluvioso
2025-04-23,Miércoles,99,75,98,111,21,28,36,soleado
2025-04-24,Jueves,112,123,101,110,33,31,31,nublado
2025-04-25,Viernes,118,129,117,130,38,40,37,soleado
2025-04-26,Sábado,80,81,87,88,27,24,25,soleado_nublado_lluvioso
2025-04-27,Domingo,112,130,109,123,43,35,41,soleado
2025-04-28,Lunes,101,104,103,116,29,35,41,nublado
2025-04-29,Martes,115,104,112,85,32,16,29,soleado_nublado
2025-04-30,Miércoles,96,109,102,106,14,34,22,soleado
2025-05-01,Jueves,125,123,73,124,31,34,18,lluvioso
2025-05-02,Viernes,133,142,127,119,30,42,39,nublado_lluvioso
2025-05-03,Sábado,117,110,95,129,43,40,33,soleado_nublado
2025-05-04,Domingo,135,124,136,117,32,29,30,nublado_lluvioso
2025-05-05,Lunes,65,73,73,71,32,22,23,soleado_lluvioso
2025-05-06,Martes,110,68,114,94,24,21,21,soleado_nublado
2025-05-07,Miércoles,74,92,86,103,26,26,38,nublado_lluvioso
2025-05-08,Jueves,82,75,69,82,34,31,16,soleado_lluvioso
2025-05-09,Viernes,115,134,116,143,45,47,38,nublado
2025-05-10,Sábado,84,69,76,71,28,26,25,soleado_nublado_lluvioso
2025-05-11,Domingo,127,151,123,120,41,34,35,lluvioso
2025-05-12,Lunes,110,111,103,117,39,39,34,nublado
2025-05-13,Martes,107,114,102,118,33,30,22,lluvioso
2025-05-14,Miércoles,124,79,108,124,35,28,15,lluvioso
2025-05-15,Jueves,72,117,99,74,18,29,18,soleado_nublado
2025-05-16,Viernes,133,130,123,142,38,36,44,nublado_lluvioso
2025-05-17,Sábado,79,88,86,83,23,28,27,soleado_nublado_lluvioso
2025-05-18,Domingo,142,139,127,125,48,37,42,nublado
2025-05-19,Lunes,71,113,87,117,30,36,29,lluvioso
2025-05-20,Martes,94,76,82,109,30,34,16,soleado
2025-05-21,Miércoles,97,94,111,113,11,31,21,soleado_nublado
2025-05-22,Jueves,88,103,109,105,32,25,27,soleado
2025-05-23,Viernes,119,121,114,129,38,40,36,soleado
2025-05-24,Sábado,113,121,95,108,42,42,42,soleado_nublado
2025-05-25,Domingo,140,127,137,132,46,40,37,nublado
2025-05-26,Lunes,71,84,77,100,27,33,34,nublado_lluvioso
2025-05-27,Martes,92,112,126,110,21,19,30,lluvioso
2025-05-28,Miércoles,81,81,72,74,33,32,23,soleado_lluvioso
2025-05-29,Jueves,80,81,102,105,27,34,31,nublado_lluvioso
2025-05-30,Viernes,136,134,124,136,36,36,42,lluvioso
2025-05-31,Sábado,124,103,119,103,37,40,38,soleado_nublado
2025-06-01,Domingo,128,141,139,134,44,40,43,nublado
2025-06-02,Lunes,88,96,104,82,35,32,28,soleado
2025-06-03,Martes,112,114,75,98,16,33,31,lluvioso
2025-06-04,Miércoles,107,113,101,103,24,24,20,soleado_nublado
2025-06-05,Jueves,125,83,78,118,33,35,30,lluvioso
2025-06-06,Viernes,73,83,86,81,28,29,29,soleado_nublado_lluvioso
2025-06-07,Sábado,132,130,123,139,37,45,41,nublado
2025-06-08,Domingo,121,123,107,112,39,37,43,soleado
2025-06-09,Lunes,92,76,108,91,18,29,25,soleado_nublado
2025-06-10,Martes,59,62,44,53,19,15,18,soleado_nublado_lluvioso
2025-06-11,Miércoles,99,75,98,111,21,28,36,soleado
2025-06-12,Jueves,112,123,101,110,33,31,31,nublado
